City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lebu,-37.6167,-73.65,53.53,84,100,1.92,CL,1713522021
84,es castell,39.8795,4.2854,61.48,39,0,17.27,ES,1713522022
85,alesund,62.4723,6.1549,49.12,53,75,4.61,NO,1713522023
86,klyuchi,52.2667,79.1667,64.36,45,86,12.77,RU,1713522023
87,ta`u,-14.2336,-169.5144,84.61,76,34,13.0,AS,1713522025
88,yellowknife,62.456,-114.3525,24.42,80,76,7.4,CA,1713522026
89,meadville,41.6414,-80.1515,56.98,80,100,8.05,US,1713522027
90,port augusta,-32.5,137.7667,63.28,57,0,19.48,AU,1713522028
91,harper,4.375,-7.7169,87.58,69,62,9.66,LR,1713522028
92,lazaro cardenas,17.9583,-102.2,71.47,87,1,3.15,MX,1713522029
93,waitangi,-43.9535,-176.5597,56.82,95,70,9.33,NZ,1713522030
94,puerto rosario,-24.45,-57.0833,54.97,72,1,3.47,PY,1713522030
95,bredasdorp,-34.5322,20.0403,74.19,58,98,4.47,ZA,1713521770
96,quesnel,52.9999,-122.5029,29.39,67,32,1.66,CA,1713522032
97,kharan,28.5833,65.4167,71.08,45,70,5.91,PK,1713522032
98,ambositra,-20.5167,47.25,72.07,52,99,4.56,MG,1713521991
99,fort mcmurray,56.7268,-111.381,17.15,93,23,1.74,CA,1713521763
100,constantia,44.1833,28.65,56.08,64,64,5.75,RO,1713522034
101,al wajh,26.2455,36.4525,82.35,65,0,16.11,SA,1713522036
102,tura,25.5198,90.2201,99.07,14,0,8.84,IN,1713521926
103,okhotsk,59.3833,143.3,32.68,95,97,4.23,RU,1713522037
104,port mathurin,-19.6833,63.4167,79.11,63,97,18.75,MU,1713522038
105,nemuro,43.3236,145.575,36.52,96,100,21.18,JP,1713522038
106,pacific grove,36.6177,-121.9166,53.02,86,100,5.75,US,1713522039
107,revda,56.801,59.9303,71.26,46,96,8.63,RU,1713522040
108,puerto ayora,-0.7393,-90.3518,73.54,98,100,1.99,EC,1713522041
109,amahai,-3.3333,128.9167,80.28,87,98,5.75,ID,1713522041
110,sassandra,4.95,-6.0833,88.11,67,86,8.68,CI,1713522042
111,chonchi,-42.6128,-73.8092,47.41,83,96,8.61,CL,1713522043
112,alice springs,-23.7,133.8833,60.35,33,0,6.91,AU,1713522043
113,borogontsy,62.6683,131.1683,33.03,92,100,4.25,RU,1713522044
114,kodiak,57.79,-152.4072,40.51,100,100,14.97,US,1713522045
115,jabor,5.921,169.6434,83.14,85,21,18.59,MH,1713522045
116,igarka,67.4667,86.5833,23.02,93,100,14.0,RU,1713522046
117,aasiaat,68.7098,-52.8699,11.48,94,96,6.2,GL,1713522046
118,papatowai,-46.5619,169.4708,45.81,86,97,3.65,NZ,1713522047
119,merizo village,13.2658,144.6691,82.98,91,84,11.36,GU,1713522048
120,katsuren-haebaru,26.3369,127.8719,73.42,66,40,6.91,JP,1713521871
121,minas de marcona,-15.2119,-75.1103,59.92,87,83,4.76,PE,1713522049
122,tselinnoye,53.0833,85.6667,55.78,51,77,17.6,RU,1713522049
123,warrnambool,-38.3833,142.4833,55.56,75,37,12.24,AU,1713521906
124,eirunepe,-6.6603,-69.8736,71.35,100,97,1.59,BR,1713521769
125,callao,-12.0667,-77.15,67.71,82,0,8.05,PE,1713522051
126,skovorodino,53.9833,123.9167,36.14,71,100,2.48,RU,1713521939
127,tadine,-21.55,167.8833,76.41,83,100,12.97,NC,1713522052
128,"laikit, laikit ii (dimembe)",1.4792,124.9735,79.65,78,20,1.14,ID,1713522053
129,barcelos,41.5388,-8.6151,69.94,38,8,5.39,PT,1713522054
130,sittwe,20.15,92.9,86.92,70,61,14.32,MM,1713522054
131,puerto baquerizo moreno,-0.9,-89.6,75.83,90,87,7.45,EC,1713522055
132,chui,-33.6971,-53.4616,53.67,92,14,5.61,UY,1713521859
133,sucre,-19.0333,-65.2627,50.04,93,30,2.77,BO,1713522056
134,alice town,25.7167,-79.3,74.12,79,38,7.67,BS,1713522056
135,iguape,-24.7081,-47.5553,62.04,91,7,3.94,BR,1713522057
136,techiman,7.5862,-1.9414,90.27,51,94,5.99,GH,1713522058
137,burao,9.5221,45.5336,89.2,37,94,9.44,SO,1713522060
138,hithadhoo,-0.6,73.0833,83.89,75,92,6.02,MV,1713522060
139,uturoa,-16.7333,-151.4333,82.67,78,57,13.82,PF,1713522062
140,arkhangel'sk,64.5401,40.5433,26.71,63,100,11.18,RU,1713522063
141,dudinka,69.4058,86.1778,29.68,97,100,11.99,RU,1713522063
142,sechura,-5.5569,-80.8222,71.49,75,100,8.84,PE,1713521793
143,cody,44.5263,-109.0565,27.91,65,100,10.36,US,1713522065
144,strathalbyn,-35.2667,138.9,58.89,76,2,12.19,AU,1713522066
145,wanning,18.8003,110.3967,82.85,77,1,14.97,CN,1713522066
146,touros,-5.1989,-35.4608,80.71,87,94,9.17,BR,1713522067
147,chibougamau,49.9168,-74.3659,38.05,97,100,8.93,CA,1713522068
148,novodvinsk,64.4165,40.8122,26.35,75,100,10.22,RU,1713521880
149,isangel,-19.55,169.2667,78.42,88,99,10.85,VU,1713522069
150,sovetskiy,61.3614,63.5842,28.89,86,100,3.0,RU,1713522070
151,cambria,35.5641,-121.0808,53.22,100,91,1.99,US,1713522070
152,oranjemund,-28.55,16.4333,64.0,75,34,7.94,NA,1713522007
153,iowa park,33.9515,-98.6687,55.26,67,100,17.27,US,1713522072
154,walvis bay,-22.9575,14.5053,68.95,64,0,9.22,NA,1713521779
155,rabaul,-4.1967,152.1721,83.25,76,23,4.05,PG,1713522073
156,college,64.8569,-147.8028,33.75,66,20,5.75,US,1713522073
157,north bend,43.4065,-124.2243,46.85,87,0,6.91,US,1713522074
158,lakhdenpokh'ya,61.5198,30.1992,26.74,64,100,14.12,RU,1713522075
159,najran,17.4924,44.1277,92.05,23,2,0.29,SA,1713522075
160,pemba,-12.974,40.5178,88.5,66,20,16.11,MZ,1713522076
161,antonio enes,-16.2325,39.9086,85.12,68,84,9.33,MZ,1713522077
162,crane,31.3974,-102.3501,56.23,59,97,18.5,US,1713522077
163,rio preto da eva,-2.6994,-59.6997,73.6,98,100,0.65,BR,1713522079
164,mulayjah,27.271,48.4242,93.63,13,0,2.55,SA,1713522079
165,kurayoshi,35.4333,133.8167,60.71,68,7,0.89,JP,1713522080
166,brokopondo,4.75,-55.1667,76.78,93,99,6.13,SR,1713521900
167,yazd,31.8972,54.3675,78.91,18,20,9.22,IR,1713522081
168,san patricio,28.017,-97.5169,76.84,97,56,6.78,US,1713522082
169,weno,7.4515,151.8468,80.55,89,100,4.61,FM,1713522082
170,gadzhiyevo,69.2551,33.3362,17.38,73,3,13.11,RU,1713522083
171,st. john's,47.5649,-52.7093,35.67,97,100,15.99,CA,1713522084
172,isafjordur,66.0755,-23.124,28.44,54,0,3.44,IS,1713522084
173,ma'an,26.9775,110.7211,80.76,68,16,5.14,CN,1713522087
174,vila do maio,15.1333,-23.2167,86.79,82,10,11.32,CV,1713522088
175,puerto deseado,-47.7503,-65.8938,50.7,52,69,15.86,AR,1713522088
176,sejenane,37.0572,9.2381,59.95,55,70,23.17,TN,1713522089
177,hawaiian paradise park,19.5933,-154.9731,71.11,93,100,6.91,US,1713522089
178,manacapuru,-3.2997,-60.6206,75.88,89,99,0.34,BR,1713521827
179,ribadeo,43.5325,-7.0991,59.49,61,7,5.28,ES,1713522091
180,az zuwaytinah,30.9522,20.1202,80.47,38,2,17.85,LY,1713521992
181,georgetown,5.4112,100.3354,90.95,74,20,9.22,MY,1713521899
182,invercargill,-46.4,168.35,46.02,94,100,1.99,NZ,1713521840
183,taoudenni,22.6783,-3.9836,95.47,6,5,4.83,ML,1713522093
184,nova sintra,14.8667,-24.7167,71.87,70,10,13.87,CV,1713522094
185,filey,54.21,-0.2892,48.78,70,89,24.23,GB,1713522095
186,susuman,62.7833,148.1667,18.99,94,73,5.01,RU,1713522095
187,laojunmiao,39.8333,97.7333,49.08,60,100,8.63,CN,1713522096
188,saint-junien,45.8833,0.9,54.84,46,15,4.63,FR,1713522097
189,vila franca do campo,37.7167,-25.4333,64.89,99,48,8.48,PT,1713522097
190,murzuq,25.9155,13.9184,88.2,14,0,7.38,LY,1713522098
191,shendi,16.6915,33.4341,105.22,6,12,15.61,SD,1713521881
192,camana,-16.6228,-72.7111,67.53,88,96,3.67,PE,1713522099
193,tercan,39.7794,40.3925,68.5,35,1,14.18,TR,1713522100
194,tamanrasset,22.785,5.5228,84.11,7,0,3.44,DZ,1713522100
195,cananeia,-25.0147,-47.9267,64.58,84,6,2.46,BR,1713522101
196,mehran,33.1222,46.1646,92.5,13,1,8.72,IR,1713522102
197,twon-brass,4.3151,6.2418,85.32,78,100,11.5,NG,1713522102
198,howard springs,-12.497,131.047,87.71,84,50,6.06,AU,1713522103
199,diu,20.7141,70.9822,92.93,44,0,23.47,IN,1713522104
200,sinabang,2.4803,96.3801,84.99,74,97,9.26,ID,1713522104
201,burang,30.25,81.1667,41.43,55,23,9.4,CN,1713522105
202,nosy varika,-20.5833,48.5333,74.01,72,100,0.67,MG,1713521993
203,nadym,65.5333,72.5167,10.96,72,17,18.32,RU,1713522106
204,portland,45.5234,-122.6762,55.35,47,0,6.91,US,1713521869
205,nichinan,31.6,131.3667,64.42,59,99,2.17,JP,1713521834
206,perry,37.2506,-83.1999,61.52,94,100,5.03,US,1713522108
207,sao joao da barra,-21.6403,-41.0511,71.69,81,100,10.76,BR,1713521824
208,aykhal,66.0,111.5,30.49,88,89,15.43,RU,1713522110
209,amga,60.8953,131.9608,33.96,94,100,5.17,RU,1713522110
210,namibe,-15.1961,12.1522,83.34,64,16,7.72,AO,1713522111
211,tanaina,61.6269,-149.4281,42.24,50,100,8.05,US,1713522113
212,dryden,49.7833,-92.7503,27.05,92,100,11.27,CA,1713522113
213,carnarvon,-24.8667,113.6333,80.94,43,71,14.32,AU,1713522114
214,taltal,-25.4,-70.4833,61.32,86,24,3.67,CL,1713522115
215,rio branco do sul,-25.19,-49.3142,51.33,98,8,2.06,BR,1713522115
216,arteche,12.2645,125.4048,80.38,82,40,6.58,PH,1713522116
